start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
59,96,1.0,1.0030000000000001,38,2,0,2.6858458986734994e-07,7.788186048026179e-07,5.511551656405688e-07,1.4824972936366976e-05
59,115,1.5,1.5040000000000004,57,2,0,2.2740878288888576e-06,1.1559774461127416e-07,8.640400747412463e-06,9.590867477982101e-07
60,79,0.5,0.516,20,1,0,1.639068159420276e-06,1.0264999446008005e-06,2.5857235537150295e-06,9.833183909790932e-06
60,97,1.0,1.0029999999999997,38,2,0,2.7648627109198056e-07,1.673691574862856e-06,1.095426389617453e-06,2.412668334272894e-05
60,116,1.5,1.5059999999999998,57,2,0,2.3986387650296145e-06,7.625226439962123e-08,8.479323413013678e-06,4.26255017771382e-06
61,80,0.5,0.5179999999999998,20,1,0,1.5333993133026524e-06,4.04766063866191e-06,2.0482046473268926e-06,7.37261186145588e-06
61,98,1.0,1.0030000000000001,38,2,0,2.2486282500506406e-07,4.100472790066316e-07,1.7113556123454598e-06,2.645643655796448e-05
61,117,1.5,1.5090000000000003,57,2,0,2.5138930034196564e-06,4.980020724790306e-08,8.256574461785941e-06,6.784817621507955e-06
62,81,0.5,0.5129999999999999,20,1,0,1.4525262486131396e-06,4.730470990921276e-06,1.7383651371448225e-06,5.924380555910602e-06
62,99,1.0,1.0,38,2,0,2.151589431582751e-07,2.0930557512981997e-06,2.373326799086707e-06,2.7987082006575292e-05
62,118,1.5,1.5050000000000003,57,2,0,2.5378172044234112e-06,3.2895116322043205e-08,8.059637594686651e-06,7.927253911077514e-06
63,82,0.5,0.5139999999999998,20,1,0,1.154257802227221e-06,8.420237193718094e-06,1.5579678668333922e-06,5.254296901568978e-06
63,100,1.0,1.0,38,2,0,4.200912420711387e-07,5.125017486564739e-06,2.8385156427973094e-06,2.01757674176406e-05
63,119,1.5,1.509,57,2,0,2.7303416722720974e-06,1.830630980066748e-08,7.801754124559159e-06,6.6429587732841355e-06
64,83,0.5,0.5150000000000001,20,1,0,8.534140079063945e-07,1.0251377773329295e-05,1.1821565281152824e-06,3.34431906701127e-06
64,101,1.0,1.0,38,2,0,5.222967764839009e-07,1.5500677025764438e-06,3.4741697496600047e-06,2.700801320543178e-05
64,120,1.5,1.5150000000000001,57,2,0,2.946325606205392e-06,1.230549233370607e-08,7.5968692548663924e-06,4.740902539879244e-06
65,84,0.5,0.5169999999999999,20,1,0,4.845971943723271e-07,1.0099990170431283e-05,1.0607880626924441e-06,3.3773474132914316e-06
65,103,1.0,1.024,39,2,0,7.243287355778069e-07,2.609252721741685e-07,4.864140209329745e-06,3.0544167572088554e-05
65,121,1.5,1.5559999999999996,57,2,0,3.470477703168632e-06,0.0,6.940205523333197e-06,8.205428461138808e-06
66,85,0.5,0.5170000000000003,20,1,0,1.546104613225907e-07,8.77510299091e-06,9.608868147032377e-07,3.112016136341822e-06
66,104,1.0,1.024,39,2,0,8.897479383148431e-07,1.7379644495932591e-06,5.359483052308866e-06,2.0844499431404984e-05
66,121,1.5,1.529,56,2,0,3.4813479931669218e-06,0.0,6.94019880600171e-06,8.205363311475367e-06
67,86,0.5,0.5190000000000001,20,1,0,9.864106687018648e-08,6.842947659180254e-06,7.572320817835109e-07,2.1008347532713856e-06
67,105,1.0,1.021,39,2,0,1.1732060774595712e-06,1.6413168207183389e-06,5.7069899479168215e-06,2.526604453123582e-05
67,121,1.5,1.5029999999999997,55,2,0,3.490810370960879e-06,0.0,6.940105272249637e-06,8.204429104097244e-06
68,87,0.5,0.5230000000000001,20,1,0,2.9632610676344484e-07,5.232627362516951e-06,6.289736189208745e-07,1.8133145669452233e-06
68,106,1.0,1.025,39,2,0,1.3687492114883276e-06,1.8627502769545183e-06,6.4250785870134365e-06,2.8364549493176128e-05
